AttributeDescription,AttributeId,CalendarYear,CommodityCode,CommodityDescription,CountryCode,CountryName,MarketYear,Month,UnitDescription,UnitId,Value
Human Dom. Consumption,139,,0113000,"Meat, Swine                   ",CI,Chile                         ,2019,10,(1000 MT CWE)       ,7,435.0
"Other Use, Losses",152,,0113000,"Meat, Swine                   ",CI,Chile                         ,2019,10,(1000 MT CWE)       ,7,0.0
Total Dom. Consumption,125,,0113000,"Meat, Swine                   ",CI,Chile                         ,2019,10,(1000 MT CWE)       ,7,435.0
Ending Stocks,176,,0113000,"Meat, Swine                   ",CI,Chile                         ,2019,10,(1000 MT CWE)       ,7,0.0
Total Distribution,178,,0113000,"Meat, Swine                   ",CI,Chile                         ,2019,10,(1000 MT CWE)       ,7,675.0
Balance,198,,0113000,"Meat, Swine                   ",CI,Chile                         ,2019,10,(1000 MT CWE)       ,7,0.0
Inventory Balance,199,,0113000,"Meat, Swine                   ",CI,Chile                         ,2019,10,(1000 MT CWE)       ,7,0.0
Weights,210,,0113000,"Meat, Swine                   ",CI,Chile                         ,2019,10,(1000 MT CWE)       ,7,104.3
Production Change,204,,0113000,"Meat, Swine                   ",CI,Chile                         ,2019,10,(PERCENT)           ,23,2.0
Import Change,201,,0113000,"Meat, Swine                   ",CI,Chile                         ,2019,10,(PERCENT)           ,23,33.0
Export Change,202,,0113000,"Meat, Swine                   ",CI,Chile                         ,2019,10,(PERCENT)           ,23,20.0
Consumption Change,203,,0113000,"Meat, Swine                   ",CI,Chile                         ,2019,10,(PERCENT)           ,23,1.0
Imports Percent Consumption,214,,0113000,"Meat, Swine                   ",CI,Chile                         ,2019,10,(PERCENT)           ,23,30.0
Exports Percent Production,215,,0113000,"Meat, Swine                   ",CI,Chile                         ,2019,10,(PERCENT)           ,23,44.0
Population,211,,0113000,"Meat, Swine                   ",CI,Chile                         ,2019,10,(PEOPLE)            ,41,18057855.0
Per Capita Consumption,212,,0113000,"Meat, Swine                   ",CI,Chile                         ,2019,10,(KG)                ,14,24.1
Slaughter (Reference),116,,0113000,"Meat, Swine                   ",CO,Colombia                      ,2019,10,(1000 HEAD)         ,5,4820.0
Beginning Stocks,20,,0113000,"Meat, Swine                   ",CO,Colombia                      ,2019,10,(1000 MT CWE)       ,7,0.0
Production,28,,0113000,"Meat, Swine                   ",CO,Colombia                      ,2019,10,(1000 MT CWE)       ,7,418.0
Total Imports,57,,0113000,"Meat, Swine                   ",CO,Colombia                      ,2019,10,(1000 MT CWE)       ,7,155.0
Total Supply,86,,0113000,"Meat, Swine                   ",CO,Colombia                      ,2019,10,(1000 MT CWE)       ,7,573.0
Total Exports,88,,0113000,"Meat, Swine                   ",CO,Colombia                      ,2019,10,(1000 MT CWE)       ,7,0.0
Human Dom. Consumption,139,,0113000,"Meat, Swine                   ",CO,Colombia                      ,2019,10,(1000 MT CWE)       ,7,573.0
"Other Use, Losses",152,,0113000,"Meat, Swine                   ",CO,Colombia                      ,2019,10,(1000 MT CWE)       ,7,0.0
Total Dom. Consumption,125,,0113000,"Meat, Swine                   ",CO,Colombia                      ,2019,10,(1000 MT CWE)       ,7,573.0
Ending Stocks,176,,0113000,"Meat, Swine                   ",CO,Colombia                      ,2019,10,(1000 MT CWE)       ,7,0.0
Total Distribution,178,,0113000,"Meat, Swine                   ",CO,Colombia                      ,2019,10,(1000 MT CWE)       ,7,573.0
Balance,198,,0113000,"Meat, Swine                   ",CO,Colombia                      ,2019,10,(1000 MT CWE)       ,7,0.0
Inventory Balance,199,,0113000,"Meat, Swine                   ",CO,Colombia                      ,2019,10,(1000 MT CWE)       ,7,0.0
Weights,210,,0113000,"Meat, Swine                   ",CO,Colombia                      ,2019,10,(1000 MT CWE)       ,7,86.7
Production Change,204,,0113000,"Meat, Swine                   ",CO,Colombia                      ,2019,10,(PERCENT)           ,23,9.0
Import Change,201,,0113000,"Meat, Swine                   ",CO,Colombia                      ,2019,10,(PERCENT)           ,23,20.0
Export Change,202,,0113000,"Meat, Swine                   ",CO,Colombia                      ,2019,10,(PERCENT)           ,23,-100.0
Consumption Change,203,,0113000,"Meat, Swine                   ",CO,Colombia                      ,2019,10,(PERCENT)           ,23,12.0
Imports Percent Consumption,214,,0113000,"Meat, Swine                   ",CO,Colombia                      ,2019,10,(PERCENT)           ,23,27.0
Exports Percent Production,215,,0113000,"Meat, Swine                   ",CO,Colombia                      ,2019,10,(PERCENT)           ,23,0.0
Population,211,,0113000,"Meat, Swine                   ",CO,Colombia                      ,2019,10,(PEOPLE)            ,41,48631464.0
Per Capita Consumption,212,,0113000,"Meat, Swine                   ",CO,Colombia                      ,2019,10,(KG)                ,14,11.8
Slaughter (Reference),116,,0113000,"Meat, Swine                   ",CU,Cuba                          ,2019,10,(1000 HEAD)         ,5,0.0
Beginning Stocks,20,,0113000,"Meat, Swine                   ",CU,Cuba                          ,2019,10,(1000 MT CWE)       ,7,0.0
Production,28,,0113000,"Meat, Swine                   ",CU,Cuba                          ,2019,10,(1000 MT CWE)       ,7,158.0
Total Imports,57,,0113000,"Meat, Swine                   ",CU,Cuba                          ,2019,10,(1000 MT CWE)       ,7,7.0
Total Supply,86,,0113000,"Meat, Swine                   ",CU,Cuba                          ,2019,10,(1000 MT CWE)       ,7,165.0
Total Exports,88,,0113000,"Meat, Swine                   ",CU,Cuba                          ,2019,10,(1000 MT CWE)       ,7,0.0
Human Dom. Consumption,139,,0113000,"Meat, Swine                   ",CU,Cuba                          ,2019,10,(1000 MT CWE)       ,7,165.0
"Other Use, Losses",152,,0113000,"Meat, Swine                   ",CU,Cuba                          ,2019,10,(1000 MT CWE)       ,7,0.0
Total Dom. Consumption,125,,0113000,"Meat, Swine                   ",CU,Cuba                          ,2019,10,(1000 MT CWE)       ,7,165.0
Ending Stocks,176,,0113000,"Meat, Swine                   ",CU,Cuba                          ,2019,10,(1000 MT CWE)       ,7,0.0
Total Distribution,178,,0113000,"Meat, Swine                   ",CU,Cuba                          ,2019,10,(1000 MT CWE)       ,7,165.0
Balance,198,,0113000,"Meat, Swine                   ",CU,Cuba                          ,2019,10,(1000 MT CWE)       ,7,0.0
Inventory Balance,199,,0113000,"Meat, Swine                   ",CU,Cuba                          ,2019,10,(1000 MT CWE)       ,7,0.0
Weights,210,,0113000,"Meat, Swine                   ",CU,Cuba                          ,2019,10,(1000 MT CWE)       ,7,0.0
Production Change,204,,0113000,"Meat, Swine                   ",CU,Cuba                          ,2019,10,(PERCENT)           ,23,3.0
Import Change,201,,0113000,"Meat, Swine                   ",CU,Cuba                          ,2019,10,(PERCENT)           ,23,17.0
Export Change,202,,0113000,"Meat, Swine                   ",CU,Cuba                          ,2019,10,(PERCENT)           ,23,0.0
Consumption Change,203,,0113000,"Meat, Swine                   ",CU,Cuba                          ,2019,10,(PERCENT)           ,23,4.0
Imports Percent Consumption,214,,0113000,"Meat, Swine                   ",CU,Cuba                          ,2019,10,(PERCENT)           ,23,4.0
Exports Percent Production,215,,0113000,"Meat, Swine                   ",CU,Cuba                          ,2019,10,(PERCENT)           ,23,0.0
Population,211,,0113000,"Meat, Swine                   ",CU,Cuba                          ,2019,10,(PEOPLE)            ,41,11086996.0
Per Capita Consumption,212,,0113000,"Meat, Swine                   ",CU,Cuba                          ,2019,10,(KG)                ,14,14.9
Slaughter (Reference),116,,0113000,"Meat, Swine                   ",DR,Dominican Republic            ,2019,10,(1000 HEAD)         ,5,0.0
Beginning Stocks,20,,0113000,"Meat, Swine                   ",DR,Dominican Republic            ,2019,10,(1000 MT CWE)       ,7,0.0
Production,28,,0113000,"Meat, Swine                   ",DR,Dominican Republic            ,2019,10,(1000 MT CWE)       ,7,79.0
Total Imports,57,,0113000,"Meat, Swine                   ",DR,Dominican Republic            ,2019,10,(1000 MT CWE)       ,7,46.0
Total Supply,86,,0113000,"Meat, Swine                   ",DR,Dominican Republic            ,2019,10,(1000 MT CWE)       ,7,125.0
Total Exports,88,,0113000,"Meat, Swine                   ",DR,Dominican Republic            ,2019,10,(1000 MT CWE)       ,7,0.0
Human Dom. Consumption,139,,0113000,"Meat, Swine                   ",DR,Dominican Republic            ,2019,10,(1000 MT CWE)       ,7,125.0
"Other Use, Losses",152,,0113000,"Meat, Swine                   ",DR,Dominican Republic            ,2019,10,(1000 MT CWE)       ,7,0.0
Total Dom. Consumption,125,,0113000,"Meat, Swine                   ",DR,Dominican Republic            ,2019,10,(1000 MT CWE)       ,7,125.0
Ending Stocks,176,,0113000,"Meat, Swine                   ",DR,Dominican Republic            ,2019,10,(1000 MT CWE)       ,7,0.0
Total Distribution,178,,0113000,"Meat, Swine                   ",DR,Dominican Republic            ,2019,10,(1000 MT CWE)       ,7,125.0
Balance,198,,0113000,"Meat, Swine                   ",DR,Dominican Republic            ,2019,10,(1000 MT CWE)       ,7,0.0
Inventory Balance,199,,0113000,"Meat, Swine                   ",DR,Dominican Republic            ,2019,10,(1000 MT CWE)       ,7,0.0
Weights,210,,0113000,"Meat, Swine                   ",DR,Dominican Republic            ,2019,10,(1000 MT CWE)       ,7,0.0
Production Change,204,,0113000,"Meat, Swine                   ",DR,Dominican Republic            ,2019,10,(PERCENT)           ,23,4.0
Import Change,201,,0113000,"Meat, Swine                   ",DR,Dominican Republic            ,2019,10,(PERCENT)           ,23,-18.0
Export Change,202,,0113000,"Meat, Swine                   ",DR,Dominican Republic            ,2019,10,(PERCENT)           ,23,0.0
Consumption Change,203,,0113000,"Meat, Swine                   ",DR,Dominican Republic            ,2019,10,(PERCENT)           ,23,-5.0
Imports Percent Consumption,214,,0113000,"Meat, Swine                   ",DR,Dominican Republic            ,2019,10,(PERCENT)           ,23,37.0
Exports Percent Production,215,,0113000,"Meat, Swine                   ",DR,Dominican Republic            ,2019,10,(PERCENT)           ,23,0.0
Population,211,,0113000,"Meat, Swine                   ",DR,Dominican Republic            ,2019,10,(PEOPLE)            ,41,10985823.0
Per Capita Consumption,212,,0113000,"Meat, Swine                   ",DR,Dominican Republic            ,2019,10,(KG)                ,14,11.4
Slaughter (Reference),116,,0113000,"Meat, Swine                   ",E4,European Union                ,2019,10,(1000 HEAD)         ,5,260500.0
Beginning Stocks,20,,0113000,"Meat, Swine                   ",E4,European Union                ,2019,10,(1000 MT CWE)       ,7,0.0
Production,28,,0113000,"Meat, Swine                   ",E4,European Union                ,2019,10,(1000 MT CWE)       ,7,24120.0
Total Imports,57,,0113000,"Meat, Swine                   ",E4,European Union                ,2019,10,(1000 MT CWE)       ,7,15.0
Total Supply,86,,0113000,"Meat, Swine                   ",E4,European Union                ,2019,10,(1000 MT CWE)       ,7,24135.0
Total Exports,88,,0113000,"Meat, Swine                   ",E4,European Union                ,2019,10,(1000 MT CWE)       ,7,3450.0
Human Dom. Consumption,139,,0113000,"Meat, Swine                   ",E4,European Union                ,2019,10,(1000 MT CWE)       ,7,20685.0
"Other Use, Losses",152,,0113000,"Meat, Swine                   ",E4,European Union                ,2019,10,(1000 MT CWE)       ,7,0.0
Total Dom. Consumption,125,,0113000,"Meat, Swine                   ",E4,European Union                ,2019,10,(1000 MT CWE)       ,7,20685.0
Ending Stocks,176,,0113000,"Meat, Swine                   ",E4,European Union                ,2019,10,(1000 MT CWE)       ,7,0.0
Total Distribution,178,,0113000,"Meat, Swine                   ",E4,European Union                ,2019,10,(1000 MT CWE)       ,7,24135.0
Balance,198,,0113000,"Meat, Swine                   ",E4,European Union                ,2019,10,(1000 MT CWE)       ,7,0.0
Inventory Balance,199,,0113000,"Meat, Swine                   ",E4,European Union                ,2019,10,(1000 MT CWE)       ,7,0.0
Weights,210,,0113000,"Meat, Swine                   ",E4,European Union                ,2019,10,(1000 MT CWE)       ,7,92.6
Production Change,204,,0113000,"Meat, Swine                   ",E4,European Union                ,2019,10,(PERCENT)           ,23,0.0
Import Change,201,,0113000,"Meat, Swine                   ",E4,European Union                ,2019,10,(PERCENT)           ,23,7.0
Export Change,202,,0113000,"Meat, Swine                   ",E4,European Union                ,2019,10,(PERCENT)           ,23,18.0
Consumption Change,203,,0113000,"Meat, Swine                   ",E4,European Union                ,2019,10,(PERCENT)           ,23,-2.0
Imports Percent Consumption,214,,0113000,"Meat, Swine                   ",E4,European Union                ,2019,10,(PERCENT)           ,23,0.0
Exports Percent Production,215,,0113000,"Meat, Swine                   ",E4,European Union                ,2019,10,(PERCENT)           ,23,14.0
Population,211,,0113000,"Meat, Swine                   ",E4,European Union                ,2019,10,(PEOPLE)            ,41,518183234.0
Per Capita Consumption,212,,0113000,"Meat, Swine                   ",E4,European Union                ,2019,10,(KG)                ,14,39.9
Slaughter (Reference),116,,0113000,"Meat, Swine                   ",EC,Ecuador                       ,2019,04,(1000 HEAD)         ,5,0.0
Beginning Stocks,20,,0113000,"Meat, Swine                   ",EC,Ecuador                       ,2019,04,(1000 MT CWE)       ,7,0.0
Production,28,,0113000,"Meat, Swine                   ",EC,Ecuador                       ,2019,04,(1000 MT CWE)       ,7,222.0
Total Imports,57,,0113000,"Meat, Swine                   ",EC,Ecuador                       ,2019,04,(1000 MT CWE)       ,7,1.0
Total Supply,86,,0113000,"Meat, Swine                   ",EC,Ecuador                       ,2019,04,(1000 MT CWE)       ,7,223.0
Total Exports,88,,0113000,"Meat, Swine                   ",EC,Ecuador                       ,2019,04,(1000 MT CWE)       ,7,0.0
Human Dom. Consumption,139,,0113000,"Meat, Swine                   ",EC,Ecuador                       ,2019,04,(1000 MT CWE)       ,7,223.0
"Other Use, Losses",152,,0113000,"Meat, Swine                   ",EC,Ecuador                       ,2019,04,(1000 MT CWE)       ,7,0.0
Total Dom. Consumption,125,,0113000,"Meat, Swine                   ",EC,Ecuador                       ,2019,04,(1000 MT CWE)       ,7,223.0
Ending Stocks,176,,0113000,"Meat, Swine                   ",EC,Ecuador                       ,2019,04,(1000 MT CWE)       ,7,0.0
Total Distribution,178,,0113000,"Meat, Swine                   ",EC,Ecuador                       ,2019,04,(1000 MT CWE)       ,7,223.0
CY Imp. from U.S.,83,,0113000,"Meat, Swine                   ",EC,Ecuador                       ,2019,04,(1000 MT CWE)       ,7,0.0
CY. Exp. to U.S.,87,,0113000,"Meat, Swine                   ",EC,Ecuador                       ,2019,04,(1000 MT CWE)       ,7,0.0
Balance,198,,0113000,"Meat, Swine                   ",EC,Ecuador                       ,2019,04,(1000 MT CWE)       ,7,0.0
Inventory Balance,199,,0113000,"Meat, Swine                   ",EC,Ecuador                       ,2019,04,(1000 MT CWE)       ,7,0.0
Weights,210,,0113000,"Meat, Swine                   ",EC,Ecuador                       ,2019,04,(1000 MT CWE)       ,7,0.0
Production Change,204,,0113000,"Meat, Swine                   ",EC,Ecuador                       ,2019,04,(PERCENT)           ,23,1.0
Import Change,201,,0113000,"Meat, Swine                   ",EC,Ecuador                       ,2019,04,(PERCENT)           ,23,0.0
Export Change,202,,0113000,"Meat, Swine                   ",EC,Ecuador                       ,2019,04,(PERCENT)           ,23,0.0
Consumption Change,203,,0113000,"Meat, Swine                   ",EC,Ecuador                       ,2019,04,(PERCENT)           ,23,1.0
Imports Percent Consumption,214,,0113000,"Meat, Swine                   ",EC,Ecuador                       ,2019,04,(PERCENT)           ,23,0.0
Exports Percent Production,215,,0113000,"Meat, Swine                   ",EC,Ecuador                       ,2019,04,(PERCENT)           ,23,0.0
Population,211,,0113000,"Meat, Swine                   ",EC,Ecuador                       ,2019,04,(PEOPLE)            ,41,16703254.0
Per Capita Consumption,212,,0113000,"Meat, Swine                   ",EC,Ecuador                       ,2019,04,(KG)                ,14,13.4
Slaughter (Reference),116,,0113000,"Meat, Swine                   ",ES,El Salvador                   ,2019,10,(1000 HEAD)         ,5,0.0
Beginning Stocks,20,,0113000,"Meat, Swine                   ",ES,El Salvador                   ,2019,10,(1000 MT CWE)       ,7,0.0
Production,28,,0113000,"Meat, Swine                   ",ES,El Salvador                   ,2019,10,(1000 MT CWE)       ,7,8.0
Total Imports,57,,0113000,"Meat, Swine                   ",ES,El Salvador                   ,2019,10,(1000 MT CWE)       ,7,12.0
Total Supply,86,,0113000,"Meat, Swine                   ",ES,El Salvador                   ,2019,10,(1000 MT CWE)       ,7,20.0
Total Exports,88,,0113000,"Meat, Swine                   ",ES,El Salvador                   ,2019,10,(1000 MT CWE)       ,7,0.0
Human Dom. Consumption,139,,0113000,"Meat, Swine                   ",ES,El Salvador                   ,2019,10,(1000 MT CWE)       ,7,20.0
"Other Use, Losses",152,,0113000,"Meat, Swine                   ",ES,El Salvador                   ,2019,10,(1000 MT CWE)       ,7,0.0
Total Dom. Consumption,125,,0113000,"Meat, Swine                   ",ES,El Salvador                   ,2019,10,(1000 MT CWE)       ,7,20.0
Ending Stocks,176,,0113000,"Meat, Swine                   ",ES,El Salvador                   ,2019,10,(1000 MT CWE)       ,7,0.0
Total Distribution,178,,0113000,"Meat, Swine                   ",ES,El Salvador                   ,2019,10,(1000 MT CWE)       ,7,20.0
Balance,198,,0113000,"Meat, Swine                   ",ES,El Salvador                   ,2019,10,(1000 MT CWE)       ,7,0.0
Inventory Balance,199,,0113000,"Meat, Swine                   ",ES,El Salvador                   ,2019,10,(1000 MT CWE)       ,7,0.0
Weights,210,,0113000,"Meat, Swine                   ",ES,El Salvador                   ,2019,10,(1000 MT CWE)       ,7,0.0
Production Change,204,,0113000,"Meat, Swine                   ",ES,El Salvador                   ,2019,10,(PERCENT)           ,23,0.0
Import Change,201,,0113000,"Meat, Swine                   ",ES,El Salvador                   ,2019,10,(PERCENT)           ,23,9.0
Export Change,202,,0113000,"Meat, Swine                   ",ES,El Salvador                   ,2019,10,(PERCENT)           ,23,0.0
Consumption Change,203,,0113000,"Meat, Swine                   ",ES,El Salvador                   ,2019,10,(PERCENT)           ,23,5.0
Imports Percent Consumption,214,,0113000,"Meat, Swine                   ",ES,El Salvador                   ,2019,10,(PERCENT)           ,23,60.0
Exports Percent Production,215,,0113000,"Meat, Swine                   ",ES,El Salvador                   ,2019,10,(PERCENT)           ,23,0.0
Population,211,,0113000,"Meat, Swine                   ",ES,El Salvador                   ,2019,10,(PEOPLE)            ,41,6202330.0
Per Capita Consumption,212,,0113000,"Meat, Swine                   ",ES,El Salvador                   ,2019,10,(KG)                ,14,3.2
Slaughter (Reference),116,,0113000,"Meat, Swine                   ",GT,Guatemala                     ,2019,10,(1000 HEAD)         ,5,0.0
Beginning Stocks,20,,0113000,"Meat, Swine                   ",GT,Guatemala                     ,2019,10,(1000 MT CWE)       ,7,0.0
Production,28,,0113000,"Meat, Swine                   ",GT,Guatemala                     ,2019,10,(1000 MT CWE)       ,7,62.0
Total Imports,57,,0113000,"Meat, Swine                   ",GT,Guatemala                     ,2019,10,(1000 MT CWE)       ,7,26.0
Total Supply,86,,0113000,"Meat, Swine                   ",GT,Guatemala                     ,2019,10,(1000 MT CWE)       ,7,88.0
Total Exports,88,,0113000,"Meat, Swine                   ",GT,Guatemala                     ,2019,10,(1000 MT CWE)       ,7,1.0
Human Dom. Consumption,139,,0113000,"Meat, Swine                   ",GT,Guatemala                     ,2019,10,(1000 MT CWE)       ,7,87.0
"Other Use, Losses",152,,0113000,"Meat, Swine                   ",GT,Guatemala                     ,2019,10,(1000 MT CWE)       ,7,0.0
Total Dom. Consumption,125,,0113000,"Meat, Swine                   ",GT,Guatemala                     ,2019,10,(1000 MT CWE)       ,7,87.0
Ending Stocks,176,,0113000,"Meat, Swine                   ",GT,Guatemala                     ,2019,10,(1000 MT CWE)       ,7,0.0
Total Distribution,178,,0113000,"Meat, Swine                   ",GT,Guatemala                     ,2019,10,(1000 MT CWE)       ,7,88.0
Balance,198,,0113000,"Meat, Swine                   ",GT,Guatemala                     ,2019,10,(1000 MT CWE)       ,7,0.0
Inventory Balance,199,,0113000,"Meat, Swine                   ",GT,Guatemala                     ,2019,10,(1000 MT CWE)       ,7,0.0
Weights,210,,0113000,"Meat, Swine                   ",GT,Guatemala                     ,2019,10,(1000 MT CWE)       ,7,0.0
Production Change,204,,0113000,"Meat, Swine                   ",GT,Guatemala                     ,2019,10,(PERCENT)           ,23,0.0
Import Change,201,,0113000,"Meat, Swine                   ",GT,Guatemala                     ,2019,10,(PERCENT)           ,23,8.0
Export Change,202,,0113000,"Meat, Swine                   ",GT,Guatemala                     ,2019,10,(PERCENT)           ,23,0.0
Consumption Change,203,,0113000,"Meat, Swine                   ",GT,Guatemala                     ,2019,10,(PERCENT)           ,23,2.0
Imports Percent Consumption,214,,0113000,"Meat, Swine                   ",GT,Guatemala                     ,2019,10,(PERCENT)           ,23,30.0
Exports Percent Production,215,,0113000,"Meat, Swine                   ",GT,Guatemala                     ,2019,10,(PERCENT)           ,23,2.0
Population,211,,0113000,"Meat, Swine                   ",GT,Guatemala                     ,2019,10,(PEOPLE)            ,41,15998742.0
Per Capita Consumption,212,,0113000,"Meat, Swine                   ",GT,Guatemala                     ,2019,10,(KG)                ,14,5.4
Slaughter (Reference),116,,0113000,"Meat, Swine                   ",HA,Haiti                         ,2019,10,(1000 HEAD)         ,5,0.0
Beginning Stocks,20,,0113000,"Meat, Swine                   ",HA,Haiti                         ,2019,10,(1000 MT CWE)       ,7,0.0
Production,28,,0113000,"Meat, Swine                   ",HA,Haiti                         ,2019,10,(1000 MT CWE)       ,7,33.0
Total Imports,57,,0113000,"Meat, Swine                   ",HA,Haiti                         ,2019,10,(1000 MT CWE)       ,7,11.0
Total Supply,86,,0113000,"Meat, Swine                   ",HA,Haiti                         ,2019,10,(1000 MT CWE)       ,7,44.0
Total Exports,88,,0113000,"Meat, Swine                   ",HA,Haiti                         ,2019,10,(1000 MT CWE)       ,7,0.0
Human Dom. Consumption,139,,0113000,"Meat, Swine                   ",HA,Haiti                         ,2019,10,(1000 MT CWE)       ,7,44.0
"Other Use, Losses",152,,0113000,"Meat, Swine                   ",HA,Haiti                         ,2019,10,(1000 MT CWE)       ,7,0.0
Total Dom. Consumption,125,,0113000,"Meat, Swine                   ",HA,Haiti                         ,2019,10,(1000 MT CWE)       ,7,44.0
Ending Stocks,176,,0113000,"Meat, Swine                   ",HA,Haiti                         ,2019,10,(1000 MT CWE)       ,7,0.0
Total Distribution,178,,0113000,"Meat, Swine                   ",HA,Haiti                         ,2019,10,(1000 MT CWE)       ,7,44.0
Balance,198,,0113000,"Meat, Swine                   ",HA,Haiti                         ,2019,10,(1000 MT CWE)       ,7,0.0
Inventory Balance,199,,0113000,"Meat, Swine                   ",HA,Haiti                         ,2019,10,(1000 MT CWE)       ,7,0.0
Weights,210,,0113000,"Meat, Swine                   ",HA,Haiti                         ,2019,10,(1000 MT CWE)       ,7,0.0
Production Change,204,,0113000,"Meat, Swine                   ",HA,Haiti                         ,2019,10,(PERCENT)           ,23,0.0
Import Change,201,,0113000,"Meat, Swine                   ",HA,Haiti                         ,2019,10,(PERCENT)           ,23,0.0
Export Change,202,,0113000,"Meat, Swine                   ",HA,Haiti                         ,2019,10,(PERCENT)           ,23,0.0
Consumption Change,203,,0113000,"Meat, Swine                   ",HA,Haiti                         ,2019,10,(PERCENT)           ,23,0.0
Imports Percent Consumption,214,,0113000,"Meat, Swine                   ",HA,Haiti                         ,2019,10,(PERCENT)           ,23,25.0
Exports Percent Production,215,,0113000,"Meat, Swine                   ",HA,Haiti                         ,2019,10,(PERCENT)           ,23,0.0
Population,211,,0113000,"Meat, Swine                   ",HA,Haiti                         ,2019,10,(PEOPLE)            ,41,10928926.0
Per Capita Consumption,212,,0113000,"Meat, Swine                   ",HA,Haiti                         ,2019,10,(KG)                ,14,4.0
Slaughter (Reference),116,,0113000,"Meat, Swine                   ",HK,Hong Kong                     ,2019,10,(1000 HEAD)         ,5,1050.0
Beginning Stocks,20,,0113000,"Meat, Swine                   ",HK,Hong Kong                     ,2019,10,(1000 MT CWE)       ,7,0.0
Production,28,,0113000,"Meat, Swine                   ",HK,Hong Kong                     ,2019,10,(1000 MT CWE)       ,7,77.0
Total Imports,57,,0113000,"Meat, Swine                   ",HK,Hong Kong                     ,2019,10,(1000 MT CWE)       ,7,350.0
Total Supply,86,,0113000,"Meat, Swine                   ",HK,Hong Kong                     ,2019,10,(1000 MT CWE)       ,7,427.0
Total Exports,88,,0113000,"Meat, Swine                   ",HK,Hong Kong                     ,2019,10,(1000 MT CWE)       ,7,0.0
Human Dom. Consumption,139,,0113000,"Meat, Swine                   ",HK,Hong Kong                     ,2019,10,(1000 MT CWE)       ,7,427.0
"Other Use, Losses",152,,0113000,"Meat, Swine                   ",HK,Hong Kong                     ,2019,10,(1000 MT CWE)       ,7,0.0
Total Dom. Consumption,125,,0113000,"Meat, Swine                   ",HK,Hong Kong                     ,2019,10,(1000 MT CWE)       ,7,427.0
Ending Stocks,176,,0113000,"Meat, Swine                   ",HK,Hong Kong                     ,2019,10,(1000 MT CWE)       ,7,0.0
Total Distribution,178,,0113000,"Meat, Swine                   ",HK,Hong Kong                     ,2019,10,(1000 MT CWE)       ,7,427.0
Balance,198,,0113000,"Meat, Swine                   ",HK,Hong Kong                     ,2019,10,(1000 MT CWE)       ,7,0.0
Inventory Balance,199,,0113000,"Meat, Swine                   ",HK,Hong Kong                     ,2019,10,(1000 MT CWE)       ,7,0.0
Weights,210,,0113000,"Meat, Swine                   ",HK,Hong Kong                     ,2019,10,(1000 MT CWE)       ,7,73.3
Production Change,204,,0113000,"Meat, Swine                   ",HK,Hong Kong                     ,2019,10,(PERCENT)           ,23,-40.0
Import Change,201,,0113000,"Meat, Swine                   ",HK,Hong Kong                     ,2019,10,(PERCENT)           ,23,-17.0
Export Change,202,,0113000,"Meat, Swine                   ",HK,Hong Kong                     ,2019,10,(PERCENT)           ,23,0.0
Consumption Change,203,,0113000,"Meat, Swine                   ",HK,Hong Kong                     ,2019,10,(PERCENT)           ,23,-23.0
Imports Percent Consumption,214,,0113000,"Meat, Swine                   ",HK,Hong Kong                     ,2019,10,(PERCENT)           ,23,82.0
Exports Percent Production,215,,0113000,"Meat, Swine                   ",HK,Hong Kong                     ,2019,10,(PERCENT)           ,23,0.0
Population,211,,0113000,"Meat, Swine                   ",HK,Hong Kong                     ,2019,10,(PEOPLE)            ,41,7232810.0
Per Capita Consumption,212,,0113000,"Meat, Swine                   ",HK,Hong Kong                     ,2019,10,(KG)                ,14,59.0
Slaughter (Reference),116,,0113000,"Meat, Swine                   ",HO,Honduras                      ,2019,10,(1000 HEAD)         ,5,0.0
Beginning Stocks,20,,0113000,"Meat, Swine                   ",HO,Honduras                      ,2019,10,(1000 MT CWE)       ,7,0.0
Production,28,,0113000,"Meat, Swine                   ",HO,Honduras                      ,2019,10,(1000 MT CWE)       ,7,10.0
Total Imports,57,,0113000,"Meat, Swine                   ",HO,Honduras                      ,2019,10,(1000 MT CWE)       ,7,43.0
Total Supply,86,,0113000,"Meat, Swine                   ",HO,Honduras                      ,2019,10,(1000 MT CWE)       ,7,53.0
Total Exports,88,,0113000,"Meat, Swine                   ",HO,Honduras                      ,2019,10,(1000 MT CWE)       ,7,0.0
Human Dom. Consumption,139,,0113000,"Meat, Swine                   ",HO,Honduras                      ,2019,10,(1000 MT CWE)       ,7,53.0
"Other Use, Losses",152,,0113000,"Meat, Swine                   ",HO,Honduras                      ,2019,10,(1000 MT CWE)       ,7,0.0
Total Dom. Consumption,125,,0113000,"Meat, Swine                   ",HO,Honduras                      ,2019,10,(1000 MT CWE)       ,7,53.0
Ending Stocks,176,,0113000,"Meat, Swine                   ",HO,Honduras                      ,2019,10,(1000 MT CWE)       ,7,0.0
Total Distribution,178,,0113000,"Meat, Swine                   ",HO,Honduras                      ,2019,10,(1000 MT CWE)       ,7,53.0
Balance,198,,0113000,"Meat, Swine                   ",HO,Honduras                      ,2019,10,(1000 MT CWE)       ,7,0.0
Inventory Balance,199,,0113000,"Meat, Swine                   ",HO,Honduras                      ,2019,10,(1000 MT CWE)       ,7,0.0
